finished file: 0
finished file: 1
finished file: 2
finished file: 3
finished file: 4
finished file: 5
finished file: 6
finished file: 7
finished file: 8
finished file: 9
finished file: 10
finished file: 11
finished file: 12
finished file: 13
finished file: 14
finished file: 15
finished file: 16
finished file: 17
finished file: 18
finished file: 19
00100000		3941251
1101100010100111		2489223
1101100110000100		1766662
1101100110001010		1201446
1101100110000101		951403
1101100110000110		878269
1101100110001000		846307
1101100010101010		836854
1101100010110001		743392
1101100010101000		652787
1101100110000111		628774
1101100010111001		550090
1101100110000011		481667
1101100010101001		450292
1101100110000001		447173
1101100010101111		440980
1101100110000010		375033
1101100010100011		349713
1101100010110011		344970
1101100010101101		341347
1101100010101100		234855
1101100110001001		183725
1101100010110101		179396
1101100010110100		162433
00101110		147396
1101100010101110		145576
1101100010110111		127981
1101100010110000		122671
1101100010101011		111938
1101100010110110		88160
1101100010110010		79287
1101100010001100		77976
1101100010111010		75795
1101100010100101		71489
1101100010100110		67006
1101100010100001		64115
00001101		63257
00001010		63238
00101101		48604
1101100110001011		46278
00100010		40035
1101100010111000		39009
00100001		31190
00101100		30793
1101100110010001		23512
1101100110001111		19890
1101100110000000		19669
00111010		18640
1101100010100010		18360
00101001		17429
1101100010100100		15660
1101100110001110		14498
1101100010011111		12379
00101000		10355
00101010		9900
1101100110010000		9131
01011111		6309
00111101		4164
00110001		4160
00110000		4026
1101100110010010		3885
1101100110001101		3319
00110010		3103
1101100110001100		2823
00110011		2328
00110101		2107
00101111		1813
00110100		1738
00111001		1609
1101100010011011		1549
00111000		1091
00110110		1004
01011110		955
00110111		914
01111110		615
1101100110100001		490
1101100110100000		484
111000101000000010100110		420
01011100		413
111011111011101110110111		338
1101100110100010		309
00101011		279
01011101		264
1101100110100011		245
1101100110100101		237
1101100110100100		214
00100111		213
01111100		205
00100011		198
01011011		192
1101100110101001		147
00100101		140
1101100110101000		133
111011111011101110111011		130
00111011		129
01111011		115
01111101		112
1101100110100110		103
1101100110100111		95
1101100110101011		64
111011111011101110111001		56
00100100		52
111011111011101110110101		25
1101100110101010		18
1101100010111111		12
1101100010111101		10
1101100010111110		5
1101100010111011		5
1101100110101100		4
01100000		4
1101100010111100		3
1101100110101101		2
1101100010001111		1
Number of symbols: 113
